name_ko,canonical,kind,iso3,region_group,lat,lng
대한민국,대한민국,country,KOR,아시아,36.5,127.9
미국,미국,country,USA,북미,39.8,-98.6
독일,독일,country,DEU,유럽,51.2,10.4
튀르키예,튀르키예,country,TUR,중동,39.0,35.2
터키,튀르키예,country,TUR,중동,39.0,35.2
일본,일본,country,JPN,아시아,36.2,138.3
중국,중국,country,CHN,중국,35.9,104.2
홍콩,홍콩,country,HKG,중국,22.3,114.2
대만,대만,country,TWN,아시아,23.7,120.9
베트남,베트남,country,VNM,아시아,14.1,108.3
태국,태국,country,THA,아시아,15.9,100.9
미얀마,미얀마,country,MMR,아시아,21.9,95.9
캄보디아,캄보디아,country,KHM,아시아,12.6,104.9
인도네시아,인도네시아,country,IDN,아시아,-0.8,113.9
말레이시아,말레이시아,country,MYS,아시아,4.2,101.9
필리핀,필리핀,country,PHL,아시아,12.9,121.8
인도,인도,country,IND,아시아,22.4,78.9
파키스탄,파키스탄,country,PAK,아시아,30.4,69.3
방글라데시,방글라데시,country,BGD,아시아,23.7,90.4
네팔,네팔,country,NPL,아시아,28.4,84.1
스리랑카,스리랑카,country,LKA,아시아,7.9,80.7
카자흐스탄,카자흐스탄,country,KAZ,CIS,48.0,66.9
우즈베키스탄,우즈베키스탄,country,UZB,CIS,41.4,64.6
키르기스스탄,키르기스스탄,country,KGZ,CIS,41.2,74.8
러시아,러시아,country,RUS,CIS,61.5,105.3
우크라이나,우크라이나,country,UKR,CIS,48.4,31.2
벨라루스,벨라루스,country,BLR,CIS,53.7,27.9
아제르바이잔,아제르바이잔,country,AZE,CIS,40.1,47.6
조지아,조지아,country,GEO,CIS,42.3,43.4
아르메니아,아르메니아,country,ARM,CIS,40.1,45.0
이라크,이라크,country,IRQ,중동,33.2,43.7
이란,이란,country,IRN,중동,32.4,53.7
UAE(이란),아랍에미리트,country,ARE,중동,23.4,53.8
아랍에미리트,아랍에미리트,country,ARE,중동,23.4,53.8
사우디아라비아,사우디아라비아,country,SAU,중동,23.9,45.1
레바논,레바논,country,LBN,중동,33.9,35.9
요르단,요르단,country,JOR,중동,30.6,36.2
이스라엘,이스라엘,country,ISR,중동,31.0,34.9
이집트,이집트,country,EGY,아프리카,26.8,30.8
모로코,모로코,country,MAR,아프리카,31.8,-7.1
알제리,알제리,country,DZA,아프리카,28.0,1.7
튀니지,튀니지,country,TUN,아프리카,33.9,9.6
카메룬,카메룬,country,CMR,아프리카,7.4,12.4
탄자니아,탄자니아,country,TZA,아프리카,-6.4,34.9
케냐,케냐,country,KEN,아프리카,0.0,37.9
나이지리아,나이지리아,country,NGA,아프리카,9.1,8.7
남아프리카공화국,남아프리카공화국,country,ZAF,아프리카,-30.6,22.9
모리셔스,모리셔스,country,MUS,아프리카,-20.3,57.6
에티오피아,에티오피아,country,ETH,아프리카,9.1,40.5
호주,호주,country,AUS,오세아니아,-25.3,133.8
뉴질랜드,뉴질랜드,country,NZL,오세아니아,-41.8,174.0
브라질,브라질,country,BRA,남미,-14.2,-51.9
아르헨티나,아르헨티나,country,ARG,남미,-38.4,-63.6
칠레,칠레,country,CHL,남미,-35.7,-71.5
콜롬비아,콜롬비아,country,COL,남미,4.6,-74.3
페루,페루,country,PER,남미,-9.2,-75.0
에콰도르,에콰도르,country,ECU,남미,-1.8,-78.2
멕시코,멕시코,country,MEX,북미,23.6,-102.6
스페인,스페인,country,ESP,유럽,40.5,-3.7
이탈리아,이탈리아,country,ITA,유럽,41.9,12.6
프랑스,프랑스,country,FRA,유럽,46.2,2.2
폴란드,폴란드,country,POL,유럽,51.9,19.1
가나,가나,country,GHA,아프리카,7.9,-1.0
말리,말리,country,MLI,아프리카,17.6,-4.0
수단,수단,country,SDN,아프리카,12.9,30.2
리비아,리비아,country,LBY,아프리카,26.3,17.2
세네갈,세네갈,country,SEN,아프리카,14.5,-14.5
우간다,우간다,country,UGA,아프리카,1.4,32.3
소말리아,소말리아,country,SOM,아프리카,5.2,46.2
적도기니,적도기니,country,GNQ,아프리카,1.6,10.3
짐바브웨,짐바브웨,country,ZWE,아프리카,-19.0,29.2
남아공,남아프리카공화국,country,ZAF,아프리카,-30.6,22.9
낭아공,남아프리카공화국,country,ZAF,아프리카,-30.6,22.9
몽골,몽골,country,MNG,아시아,46.9,103.8
볼리비아,볼리비아,country,BOL,남미,-16.3,-63.6
우루과이,우루과이,country,URY,남미,-32.5,-55.8
오만,오만,country,OMN,중동,21.5,55.9
바레인,바레인,country,BHR,중동,26.0,50.6
사우디,사우디아라비아,country,SAU,중동,23.9,45.1
시리아,시리아,country,SYR,중동,35.0,38.5
쿠웨이트,쿠웨이트,country,KWT,중동,29.3,47.5
예맨,예멘,country,YEM,중동,15.6,48.5
두바이,아랍에미리트,country,ARE,중동,23.4,53.8
두바이(이란),아랍에미리트,country,ARE,중동,23.4,53.8
UAE,아랍에미리트,country,ARE,중동,23.4,53.8
UAE NTA,아랍에미리트,country,ARE,중동,23.4,53.8
아랍,아랍에미리트,country,ARE,중동,23.4,53.8
타지키스탄,타지키스탄,country,TJK,CIS,38.9,71.3
그리스,그리스,country,GRC,유럽,39.1,21.8
스웨덴,스웨덴,country,SWE,유럽,60.1,18.6
세르비아,세르비아,country,SRB,유럽,44.0,21.0
아일랜드,아일랜드,country,IRL,유럽,53.4,-8.2
슬로바키아,슬로바키아,country,SVK,유럽,48.7,19.7
